Sec  SL  Slot  Cable  T0(BkgIntersect) T0err T0N p0  p1  p2  p3  p4(Bkg) xSigmHalf Err(p0  p1  p2  p3  p4)
2 4 1 5 911.257 25142.500 911.257 7.399 -0.0103 85.693 -0.0912 2.187 939.545 1.784 16.112 1890.989 2.588 0.073
2 4 1 6 890.551 3007.639 890.551 8.460 -0.0151 73.632 -0.0791 2.658 931.460 1.509 1.235 933.503 1.235 0.143
2 4 2 1 852.439 9809.038 852.439 6.605 -0.0107 102.015 -0.1168 2.434 873.399 1.272 8.326 2260.714 2.956 0.108
2 4 2 2 896.082 10241.444 896.082 6.604 -0.0107 107.097 -0.1168 2.409 917.052 1.291 8.401 1210.628 7.160 0.141
2 4 2 3 942.161 12134.436 942.161 7.852 -0.0099 70.044 -0.0714 2.418 980.986 1.788 5.280 449.656 0.636 0.055
2 4 2 4 1058.391 28905.547 1058.391 7.876 -0.0100 68.776 -0.0622 2.753 1105.673 1.917 9.167 1.414 9.167 0.153
2 4 2 5 262.415 1.495 262.415 7.563 -0.0167 40.541 -0.1446 1.813 280.412 0.781 0.003 5.470 0.019 0.207
2 4 2 6 857.898 1660.561 857.898 7.733 -0.0101 67.448 -0.0754 2.552 894.103 1.824 0.818 53.441 0.071 0.110
2 4 3 1 875.898 5123.561 875.897 8.684 -0.0157 100.496 -0.1116 3.062 900.860 1.266 3.758 2880.941 3.758 0.160
2 4 3 2 890.869 6187.668 890.869 7.001 -0.0110 69.964 -0.0754 2.666 928.304 2.138 2.880 430.352 0.560 0.084
2 4 3 3 1493.095 3988.530 1493.094 6.904 -0.0105 109.028 -0.0711 2.699 1532.984 1.348 1.414 1.414 1.414 0.153
2 4 3 4 -979.960 1272.436  NaN 7.970 -0.0098 72.415 0.0723 2.838 1001.717 1.950 1.414 1.414 1.414 0.159
2 4 3 5 865.983 9797.164 865.982 6.562 -0.0112 89.693 -0.1006 2.611 891.551 2.351 7.085 1717.259 2.256 0.094
2 4 3 6 934.486 21322.564 934.486 6.957 -0.0105 96.502 -0.1006 2.509 959.602 1.393 14.989 3977.234 3.392 0.151
2 4 4 1 949.734 30850.230 949.734 7.675 -0.0102 66.579 -0.0671 3.100 992.643 1.912 11.618 1262.458 1.730 0.084
2 4 4 2 882.228 3188.353 882.227 6.605 -0.0107 55.671 -0.0596 2.607 934.684 1.736 0.887 373.740 0.500 0.143
2 4 4 3 941.092 4168.195 941.091 7.873 -0.0100 65.362 -0.0664 2.542 984.138 1.382 1.566 77.062 0.098 0.030
2 4 4 4 961.657 22302.500 961.656 8.049 -0.0098 64.429 -0.0640 2.615 1006.596 1.910 7.815 787.142 1.063 0.073
2 4 4 5 -488.447 635.613  NaN 8.015 -0.0098 62.972 0.1254 2.893 502.246 1.965 1.414 1.414 1.414 0.144
2 4 4 6 866.328 1182.639 866.328 7.845 -0.0100 63.809 -0.0704 2.814 905.963 1.292 0.512 58.506 0.076 0.134
2 4 5 1 945.196 15634.778 945.196 7.281 -0.0103 63.649 -0.0642 3.406 990.998 1.595 5.343 690.533 0.906 0.082
2 4 5 2 876.879 4446.859 876.878 6.604 -0.0107 57.133 -0.0617 2.786 926.614 1.720 1.353 572.142 0.807 0.140
2 4 5 3 887.901 15931.338 887.900 7.959 -0.0142 62.279 -0.0662 3.441 940.934 1.768 4.349 609.397 0.796 0.072
2 4 5 4 2147.280 10900.032 2147.280 7.185 -0.0103 104.349 -0.0469 3.396 2223.247 1.562 1.414 1.414 1.414 0.152
2 4 5 5 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 4 5 6 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 4 6 1 811.473 3727.667 811.473 6.604 -0.0107 82.469 -0.0985 4.045 837.413 1.289 2.755 725.103 1.008 0.133
2 4 6 2 943.730 14105.607 943.730 7.675 -0.0103 65.655 -0.0665 4.987 987.237 1.482 5.213 455.160 0.600 0.069
2 4 6 3 922.998 10626.221 922.997 7.862 -0.0100 68.799 -0.0715 3.964 961.759 1.928 4.664 396.119 0.510 0.059
2 4 6 4 1418.008 117924.935 1418.006 8.317 -0.0111 65.408 -0.0432 4.149 1513.039 2.039 10.860 1.414 0.123 0.167
2 4 6 5 820.222 1831.724 820.222 6.599 -0.0107 98.248 -0.1168 3.809 841.184 2.208 1.595 508.066 0.660 0.138
2 4 6 6 962.278 18345.147 962.277 8.172 -0.0096 61.631 -0.0610 5.718 1010.160 1.707 5.828 421.923 0.570 0.066
2 4 7 1 859.240 23169.380 859.239 6.989 -0.0142 61.828 -0.0680 9.086 909.836 1.584 6.878 2023.310 2.643 0.161
2 4 7 2 1433.181 17798.293 1433.179 8.154 -0.0096 59.446 -0.0387 6.061 1536.015 2.005 1.414 1.414 1593.914 0.201
2 4 7 3 759.554 1981.896 759.553 6.940 -0.0109 73.977 -0.0940 3.259 787.281 1.378 1.414 9.102 0.012 0.148
2 4 7 4 861.323 20560.213 861.323 6.513 -0.0121 81.834 -0.0919 2.885 890.857 1.308 12.947 6459.361 8.544 0.119
2 4 7 5 1044.629 2565.761 1044.628 7.326 -0.0103 92.003 -0.0856 2.275 1075.381 1.652 1.414 1.414 328.094 0.129
2 4 7 6 799.429 1597.249 799.428 6.633 -0.0107 95.758 -0.1167 1.631 820.399 1.444 1.414 1.414 1.414 0.121
2 5 1 1 4388.018  NaN -Infinity 7.714 -0.0094 520.616 -0.1181 2.506 4408.156  NaN  NaN  NaN  NaN  NaN
2 5 1 2 -9167.954 12348.321  NaN 8.661 -0.0094 389.744 0.0424 6.098 9200.661 2.057 1.414 1.414 1.414 0.202
2 5 1 3 3279.899 4986.814 3279.891 8.332 -0.0094 389.744 -0.1181 10.216 3300.037 2.042 1.414 1.414 0.099 0.261
2 5 1 4 525.357 1151.122 525.357 6.729 -0.0132 71.326 -0.1310 11.604 544.476 2.037 1.414 3.284 0.006 0.282
2 5 1 5 612.438 0.726 612.438 9.000 -0.0124 76.005 -0.1200 11.397 633.458 1.985 0.001 26.233 0.041 0.342
2 5 1 6 3279.899 4986.814 3280.912 8.280 -0.0094 389.744 -0.1181 7.432 3300.037 2.033 1.414 1.414 0.038 0.223
2 5 2 1 3279.899 4986.814 3278.671 8.614 -0.0094 389.744 -0.1181 4.473 3300.037 2.061 1.414 1.414 0.013 0.173
2 5 2 2 3492.445 5285.518 3491.653 8.288 -0.0094 414.846 -0.1181 3.622 3512.583 2.034 1.414 1.414 0.017 0.156
2 5 2 3 3890.307 5845.174 -Infinity 8.103 -0.0094 461.835 -0.1181 3.038 3910.445 1.991 1.414 1.414 0.021 0.144
2 5 2 4 3463.115 5244.286 3469.362 8.295 -0.0094 411.382 -0.1181 3.443 3483.253 2.036 1.414 1.414 0.018 0.152
2 5 2 5 3279.899 4986.814 3282.114 8.621 -0.0094 389.744 -0.1181 4.172 3300.037 2.060 1.414 1.414 0.018 0.167
2 5 2 6 3279.899 4986.814 3281.467 8.369 -0.0094 389.744 -0.1181 3.667 3300.037 2.048 1.414 1.414 0.016 0.157
2 5 3 1 3279.899 4986.814 3280.883 8.400 -0.0094 389.744 -0.1181 3.838 3300.037 2.052 1.414 1.414 0.016 0.162
2 5 3 2 3279.899 4986.814 3278.272 8.633 -0.0094 389.744 -0.1181 4.090 3300.037 2.060 1.414 1.414 0.036 0.167
2 5 3 3 3279.899 4986.814 3278.655 8.615 -0.0094 389.744 -0.1181 3.879 3300.037 2.061 1.414 1.414 0.016 0.162
2 5 3 4 3279.899 4986.814 3280.774 8.606 -0.0094 389.744 -0.1181 3.728 3300.037 2.061 1.414 1.414 0.014 0.158
2 5 3 5 3279.899 4986.814 3280.464 8.622 -0.0094 389.744 -0.1181 3.808 3300.037 2.060 1.414 1.414 0.027 0.162
2 5 3 6 3279.899  NaN 3279.013 8.375 -0.0094 389.744 -0.1181 3.203 3300.037 2.048  NaN 1.414 1.414 0.207
2 5 4 1 3279.899 4986.814 3280.649 8.612 -0.0094 389.744 -0.1181 3.681 3300.037 2.061 1.414 1.414 0.016 0.159
2 5 4 2 3279.899 4986.814 3280.597 8.615 -0.0094 389.744 -0.1181 3.867 3300.037 2.061 1.414 1.414 0.017 0.161
2 5 4 3 3279.899 4986.814 3278.804 8.608 -0.0094 389.744 -0.1181 3.538 3300.037 2.061 1.414 1.414 0.015 0.155
2 5 4 4 3279.899 4986.814 3282.055 8.624 -0.0094 389.744 -0.1181 4.232 3300.037 2.060 1.414 1.414 0.020 0.169
2 5 4 5 3279.899 4986.814 3278.564 8.396 -0.0094 389.744 -0.1181 3.511 3300.037 2.051 1.414 1.414 0.016 0.155
2 5 4 6 3318.728  NaN 3316.462 8.333 -0.0094 394.330 -0.1181 3.028 3338.866 2.042  NaN 1.414 1.414 0.204
2 5 5 1 3279.899 4986.814 3278.732 8.388 -0.0094 389.744 -0.1181 3.535 3300.037 2.050 1.414 1.414 0.016 0.157
2 5 5 2 3452.985 5230.046 3442.568 8.295 -0.0094 410.186 -0.1181 3.232 3473.123 2.036 1.414 1.414 0.018 0.150
2 5 5 3 3799.720  NaN -Infinity 8.140 -0.0094 451.136 -0.1181 2.698 3819.858 2.001  NaN 1.414 1.414 0.197
